,listing_type,listing_title,bed_type,availability,price,rating,number_of_ratings
77,Apartment in Nairobi,"Skyline Views from 12th floor, rooftop pool & gym",1 king bed,Mar 17 – 24,$54,4.79,57
78,Condo in Nairobi,"Gemmies
(Netflix, WiFi, Pool, Gym, Parking)",1 double bed,Nov 17 – 24,$22,4.53,38
79,Apartment in Nairobi,"Down by the river 2, One Bedroom Apartment",1 bed,Nov 1 – 8,$41,4.87,15
80,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Aug 25 – Sep 1,$41,4.51,49
81,Apartment in Nairobi,"Skyline Views from 12th floor, rooftop pool & gym",1 king bed,Sep 15 – 22,$56,New,0
82,Apartment in Nairobi,"Affordable studio apartments in Kilimani, Enclave",1 queen bed,Aug 4 – 11,$48,New,0
83,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Mar 22 – 29,$26,New,0
84,Apartment in Nairobi,"iMagine White Collection, 1 Bedroom Kilimani",1 bed,Dec 1 – 8,$70,New,0
85,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Aug 19 – 26,$54,New,0
86,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Jan 9 – 16,$33,New,0
87,Apartment in Nairobi,"Lemac 1108 Furnished Prime apartment, Westlands",1 king bed,Dec 19 – 26,$52,New,0
88,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Nov 2 – 9,$14,New,0
89,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Jan 31 – Feb 7,$140,New,0
90,Apartment in Nairobi,New 5★ Cosy ∣ Clean & Convenient 1BR Westlands Apt,1 bed,Jul 25 – Aug 1,$41,New,0
91,Private room in Nairobi,Welcome home in Kenya,1 bed,Sep 18 – 25,$22,New,0
92,Condo in Nairobi,Executive studio with free parking in Kilimani,1 bed,Apr 11 – 18,$20,New,0
93,Apartment in Nairobi,"Hidden Gem
Cozy 1 bedroom in the heart of Kilimani",1 bed,Feb 12 – 19,$53,New,0
94,Apartment in Nairobi,Sunny Spacious Studio,1 queen bed,Apr 18 – 25,$27,New,0
95,Apartment in Nairobi,Sunset views on 9th floor w/ King Bed in Lavington,1 king bed,Nov 16 – 23,$56,New,0
96,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 9 – 16,$15,New,0
97,Condo in Nairobi,Cosy Studio Apartment in the CBD-Fast WiFi+Netflix,1 queen bed,Aug 27 – Sep 3,$15,New,0
98,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Sep 13 – 20,$41,New,0
99,Loft in Nairobi,"⚡️Cozy,Cute Loft Apartment, Yaya Center , Kilimani⚡️",1 queen bed,Nov 6 – 13,$40,New,0
100,Guest suite in Nairobi,Spacious minimalist studio next to National park,1 queen bed,Aug 2 – 9,$15,New,0
101,Apartment in Nairobi,"Skyline Views from 12th floor, rooftop pool & gym",1 king bed,May 28 – Jun 4,$56,4.79,57
102,Apartment in Nairobi,"iMagine White Collection, 1 Bedroom Kilimani",1 bed,Oct 15 – 22,$62,4.36,11
103,Apartment in Nairobi,"Affordable studio apartments in Kilimani, Enclave",1 queen bed,Nov 22 – 29,$48,4.42,168
104,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Nov 27 – Dec 4,$26,New,0
105,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 10 – 17,$15,4.82,33
106,Apartment in Nairobi,Pura Vida serviced studio with a rooftop pool,1 queen bed,Oct 8 – 15,$25,4.44,107
107,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Sep 14 – 21,$60,5.0,9
108,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Nov 19 – 26,$33,5.0,3
109,Apartment in Nairobi,"Lemac 1108 Furnished Prime apartment, Westlands",1 king bed,Feb 18 – 25,$52,4.96,100
110,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Jan 18 – 25,$14,4.69,16
111,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Mar 3 – 10,$141,4.96,162
112,Apartment in Nairobi,New 5★ Cosy ∣ Clean & Convenient 1BR Westlands Apt,1 bed,Jul 27 – Aug 3,$41,4.86,36
113,Private room in Nairobi,Welcome home in Kenya,1 bed,Oct 1 – 8,$22,5.0,3
114,Condo in Nairobi,Executive studio with free parking in Kilimani,1 bed,Jan 7 – 14,$20,4.81,16
115,Apartment in Nairobi,"Hidden Gem
Cozy 1 bedroom in the heart of Kilimani",1 bed,Apr 11 – 18,$53,4.92,13
116,Apartment in Nairobi,Sunny Spacious Studio,1 queen bed,Aug 26 – Sep 2,$27,4.85,59
117,Apartment in Nairobi,"Karibu Home | Comfy King bed, Free wifi, Near CBD",1 queen bed,Nov 8 – 15,$29,4.54,108
118,Apartment in Nairobi,Sunset views on 9th floor w/ King Bed in Lavington,1 king bed,Nov 7 – 14,$56,4.84,122
119,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Aug 30 – Sep 6,$41,4.51,49
120,Guest suite in Nairobi,Spacious minimalist studio next to National park,1 queen bed,Jul 16 – 23,$15,4.89,36
