,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
271,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Oct 6 – 13,$27,New,0,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-10-06&check_out=2022-10-13&previous_page_section_name=1000
272,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Aug 25 – Sep 1,$30,New,0,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-08-25&check_out=2022-09-01&previous_page_section_name=1000
273,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Jun 6 – 13,$16,New,0,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-06-06&check_out=2023-06-13&previous_page_section_name=1000
274,Apartment in Mombasa,Royal 2 Bedroom Sea View Apartment in Nyali,Starter / Mid,2 beds,Sep 8 – 15,$65,New,0,www.airbnb.com/rooms/45523966?adults=1&children=0&infants=0&check_in=2022-09-08&check_out=2022-09-15&previous_page_section_name=1000
275,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Sep 5 – 12,$28,New,0,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-09-05&check_out=2022-09-12&previous_page_section_name=1000
276,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Nov 17 – 24,$29,New,0,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-11-17&check_out=2022-11-24&previous_page_section_name=1000
277,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,Sep 4 – 11,$57,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2022-09-04&check_out=2022-09-11&previous_page_section_name=1000
278,Condo in Mombasa,MICASA 2 BEDROOM NYALI WITH WIFI/POOL/JACUZZI/LIFT,Starter / Mid,2 beds,Oct 4 – 11,$62,New,0,www.airbnb.com/rooms/53354619?adults=1&children=0&infants=0&check_in=2022-10-04&check_out=2022-10-11&previous_page_section_name=1000
279,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Jul 11 – 18,$32,New,0,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-07-11&check_out=2022-07-18&previous_page_section_name=1000
280,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Sep 5 – 12,$32,New,0,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-09-05&check_out=2022-09-12&previous_page_section_name=1000
